Treatment,ADA,APRE,BIME,BRODA,CERTO,CICLO,DEUCRAVA,ETA,FUM,GUSEL,IFX,IXE,MTX,NETA,PBO,RISAN,SECU,SONELO,TILDRA,USK
ADA,ADA,"2.26 ( 1.31,  3.88)","0.57 ( 0.52,  0.63)","0.72 ( 0.63,  0.82)","1.31 ( 0.97,  1.77)","2.47 ( 0.46, 13.29)","1.24 ( 0.18,  8.76)","1.63 ( 1.43,  1.86)","3.98 ( 1.80,  8.82)","0.72 ( 0.67,  0.78)","0.35 ( 0.14,  0.84)","0.57 ( 0.52,  0.64)","2.50 ( 0.50, 12.42)","3.86 ( 1.74,  8.55)","17.34 (14.57, 20.63)","0.60 ( 0.55,  0.67)","0.66 ( 0.61,  0.72)","0.68 ( 0.54,  0.87)","0.93 ( 0.72,  1.21)","0.92 ( 0.84,  1.01)"
APRE,"1.18 (0.60,   2.33)",APRE,"0.25 ( 0.15,  0.44)","0.32 ( 0.18,  0.55)","0.58 ( 0.32,  1.05)","1.10 ( 0.19,  6.36)","0.55 ( 0.07,  4.15)","0.72 ( 0.42,  1.23)","1.77 ( 0.69,  4.54)","0.32 ( 0.19,  0.55)","0.15 ( 0.06,  0.43)","0.25 ( 0.15,  0.44)","1.11 ( 0.21,  5.96)","1.71 ( 0.67,  4.40)","7.68 ( 4.48, 13.17)","0.27 ( 0.16,  0.46)","0.29 ( 0.17,  0.50)","0.30 ( 0.17,  0.54)","0.41 ( 0.23,  0.74)","0.41 ( 0.24,  0.70)"
BIME,"1.93 (0.90,   4.13)","1.63 (0.65,   4.09)",BIME,"1.26 ( 1.12,  1.41)","2.28 ( 1.69,  3.08)","4.32 ( 0.80, 23.20)","2.16 ( 0.31, 15.29)","2.84 ( 2.50,  3.22)","6.95 ( 3.14, 15.38)","1.26 ( 1.16,  1.36)","0.60 ( 0.25,  1.47)","1.00 ( 0.91,  1.11)","4.36 ( 0.88, 21.67)","6.74 ( 3.04, 14.93)","30.26 (25.44, 35.99)","1.05 ( 0.95,  1.17)","1.15 ( 1.08,  1.23)","1.19 ( 0.94,  1.50)","1.63 ( 1.26,  2.10)","1.60 ( 1.48,  1.73)"
BRODA,"0.98 (0.51,   1.86)","0.83 (0.39,   1.76)","0.51 (0.21,   1.22)",BRODA,"1.82 ( 1.33,  2.47)","3.44 ( 0.64, 18.49)","1.72 ( 0.24, 12.19)","2.26 ( 1.96,  2.61)","5.53 ( 2.49, 12.28)","1.00 ( 0.89,  1.12)","0.48 ( 0.20,  1.17)","0.80 ( 0.71,  0.90)","3.47 ( 0.70, 17.27)","5.37 ( 2.42, 11.91)","24.09 (20.05, 28.96)","0.84 ( 0.74,  0.95)","0.92 ( 0.83,  1.02)","0.95 ( 0.74,  1.21)","1.30 ( 1.00,  1.69)","1.28 ( 1.17,  1.39)"
CERTO,"1.44 (0.58,   3.56)","1.22 (0.46,   3.26)","0.75 (0.25,   2.23)","1.48 (0.56,   3.87)",CERTO,"1.89 ( 0.34, 10.40)","0.95 ( 0.13,  6.83)","1.25 ( 0.95,  1.64)","3.05 ( 1.32,  7.06)","0.55 ( 0.41,  0.74)","0.26 ( 0.10,  0.67)","0.44 ( 0.33,  0.59)","1.91 ( 0.38,  9.72)","2.96 ( 1.28,  6.84)","13.27 ( 9.63, 18.29)","0.46 ( 0.34,  0.63)","0.51 ( 0.38,  0.68)","0.52 ( 0.36,  0.76)","0.72 ( 0.50,  1.02)","0.70 ( 0.52,  0.94)"
CICLO,"0.18 (0.01,   3.23)","0.15 (0.01,   2.81)","0.09 (0.00,   1.79)","0.18 (0.01,   3.37)","0.12 (0.01,   2.44)",CICLO,"0.50 ( 0.04,  6.53)","0.66 ( 0.12,  3.54)","1.61 ( 0.30,  8.76)","0.29 ( 0.05,  1.56)","0.14 ( 0.02,  0.92)","0.23 ( 0.04,  1.25)","1.01 ( 0.61,  1.68)","1.56 ( 0.25,  9.87)","7.01 ( 1.32, 37.32)","0.24 ( 0.05,  1.31)","0.27 ( 0.05,  1.43)","0.28 ( 0.05,  1.50)","0.38 ( 0.07,  2.06)","0.37 ( 0.07,  1.99)"
DEUCRAVA,"1.66 (0.17,  16.12)","1.40 (0.14,  14.10)","0.86 (0.08,   9.07)","1.70 (0.17,  16.90)","1.15 (0.11,  12.47)","9.31 (0.24, 355.55)",DEUCRAVA,"1.31 ( 0.19,  9.29)","3.21 ( 0.39, 26.15)","0.58 ( 0.08,  4.10)","0.28 ( 0.03,  2.36)","0.46 ( 0.07,  3.28)","2.02 ( 0.16, 24.97)","3.12 ( 0.38, 25.36)","13.99 ( 1.99, 98.10)","0.49 ( 0.07,  3.44)","0.53 ( 0.08,  3.76)","0.55 ( 0.08,  3.94)","0.75 ( 0.11,  5.39)","0.74 ( 0.10,  5.23)"
ETA,"1.26 (0.73,   2.18)","1.07 (0.56,   2.06)","0.66 (0.29,   1.49)","1.30 (0.68,   2.46)","0.88 (0.36,   2.14)","7.11 (0.39, 129.04)","0.76 (0.08,   7.42)",ETA,"2.45 ( 1.10,  5.42)","0.44 ( 0.39,  0.50)","0.21 ( 0.09,  0.52)","0.35 ( 0.32,  0.39)","1.53 ( 0.31,  7.63)","2.37 ( 1.07,  5.26)","10.65 ( 8.88, 12.77)","0.37 ( 0.32,  0.43)","0.41 ( 0.36,  0.45)","0.42 ( 0.33,  0.54)","0.57 ( 0.46,  0.72)","0.56 ( 0.50,  0.63)"
FUM,"1.15 (0.46,   2.90)","0.98 (0.36,   2.65)","0.60 (0.20,   1.81)","1.18 (0.44,   3.14)","0.80 (0.25,   2.56)","6.47 (0.33, 128.80)","0.70 (0.06,   7.59)","0.91 (0.36,   2.29)",FUM,"0.18 ( 0.08,  0.40)","0.09 ( 0.03,  0.28)","0.14 ( 0.07,  0.32)","0.63 ( 0.12,  3.16)","0.97 ( 0.32,  2.90)","4.35 ( 2.00,  9.45)","0.15 ( 0.07,  0.34)","0.17 ( 0.08,  0.37)","0.17 ( 0.08,  0.39)","0.23 ( 0.10,  0.53)","0.23 ( 0.10,  0.51)"
GUSEL,"1.11 (0.69,   1.79)","0.94 (0.48,   1.84)","0.58 (0.26,   1.29)","1.14 (0.61,   2.14)","0.77 (0.31,   1.90)","6.26 (0.35, 113.51)","0.67 (0.07,   6.53)","0.88 (0.53,   1.47)","0.97 (0.39,   2.42)",GUSEL,"0.48 ( 0.20,  1.17)","0.80 ( 0.74,  0.86)","3.47 ( 0.70, 17.25)","5.37 ( 2.43, 11.87)","24.10 (20.36, 28.52)","0.84 ( 0.76,  0.93)","0.92 ( 0.86,  0.98)","0.95 ( 0.75,  1.20)","1.30 ( 1.01,  1.67)","1.28 ( 1.18,  1.38)"
IFX,"0.85 (0.37,   1.94)","0.72 (0.29,   1.79)","0.44 (0.16,   1.24)","0.87 (0.36,   2.12)","0.59 (0.20,   1.76)","4.80 (0.25,  92.73)","0.52 (0.05,   5.43)","0.67 (0.30,   1.52)","0.74 (0.25,   2.23)","0.77 (0.34,   1.73)",IFX,"1.66 ( 0.68,  4.03)","7.22 ( 1.17, 44.49)","11.16 ( 3.47, 35.95)","50.10 (20.88,120.22)","1.74 ( 0.72,  4.24)","1.91 ( 0.79,  4.63)","1.97 ( 0.79,  4.92)","2.70 ( 1.08,  6.72)","2.65 ( 1.09,  6.43)"
IXE,"1.11 (0.65,   1.90)","0.94 (0.48,   1.85)","0.58 (0.25,   1.31)","1.14 (0.60,   2.17)","0.77 (0.31,   1.91)","6.24 (0.34, 113.48)","0.67 (0.07,   6.53)","0.88 (0.55,   1.41)","0.96 (0.38,   2.43)","1.00 (0.63,   1.57)","1.30 (0.57,   2.97)",IXE,"4.35 ( 0.87, 21.61)","6.72 ( 3.04, 14.89)","30.18 (25.36, 35.91)","1.05 ( 0.94,  1.18)","1.15 ( 1.06,  1.25)","1.19 ( 0.93,  1.51)","1.63 ( 1.27,  2.08)","1.60 ( 1.46,  1.74)"
MTX,"12.65 (1.42, 112.67)","10.70 (1.16,  98.69)","6.55 (0.68,  63.60)","12.95 (1.42, 118.27)","8.77 (0.88,  87.52)","71.08 (1.97,2570.62)","7.63 (0.34, 170.43)","10.00 (1.12,  89.07)","10.98 (1.09, 110.25)","11.35 (1.28, 100.87)","14.81 (1.53, 143.28)","11.39 (1.28, 101.61)",MTX,"1.55 ( 0.26,  9.10)","6.94 ( 1.41, 34.17)","0.24 ( 0.05,  1.20)","0.26 ( 0.05,  1.31)","0.27 ( 0.05,  1.38)","0.37 ( 0.07,  1.89)","0.37 ( 0.07,  1.82)"
NETA,"1.28 (0.05,  31.63)","1.08 (0.04,  27.41)","0.66 (0.03,  17.39)","1.31 (0.05,  32.95)","0.89 (0.03,  23.73)","7.19 (0.10, 523.29)","0.77 (0.02,  37.87)","1.01 (0.04,  25.01)","1.11 (0.04,  29.83)","1.15 (0.05,  28.34)","1.50 (0.06,  39.21)","1.15 (0.05,  28.51)","0.10 (0.00,   4.72)",NETA,"4.49 ( 2.07,  9.75)","0.16 ( 0.07,  0.35)","0.17 ( 0.08,  0.38)","0.18 ( 0.08,  0.40)","0.24 ( 0.11,  0.55)","0.24 ( 0.11,  0.53)"
PBO,"1.01 (0.68,   1.50)","0.85 (0.49,   1.48)","0.52 (0.25,   1.09)","1.03 (0.62,   1.73)","0.70 (0.31,   1.58)","5.66 (0.32, 100.06)","0.61 (0.06,   5.71)","0.80 (0.54,   1.18)","0.87 (0.38,   2.01)","0.90 (0.62,   1.33)","1.18 (0.57,   2.43)","0.91 (0.61,   1.36)","0.08 (0.01,   0.68)","0.79 (0.03,  19.01)",PBO,"0.03 ( 0.03,  0.04)","0.04 ( 0.03,  0.04)","0.04 ( 0.03,  0.05)","0.05 ( 0.04,  0.07)","0.05 ( 0.04,  0.06)"
RISAN,"1.38 (0.82,   2.31)","1.17 (0.58,   2.36)","0.72 (0.31,   1.63)","1.41 (0.73,   2.73)","0.96 (0.38,   2.41)","7.76 (0.42, 141.69)","0.83 (0.08,   8.17)","1.09 (0.62,   1.93)","1.20 (0.47,   3.07)","1.24 (0.72,   2.12)","1.62 (0.69,   3.76)","1.24 (0.70,   2.20)","0.11 (0.01,   0.98)","1.08 (0.04,  26.83)","1.37 (0.88,   2.12)",RISAN,"1.09 ( 1.00,  1.20)","1.13 ( 0.89,  1.44)","1.55 ( 1.19,  2.01)","1.52 ( 1.38,  1.67)"
SECU,"0.95 (0.59,   1.52)","0.80 (0.42,   1.52)","0.49 (0.23,   1.07)","0.97 (0.54,   1.75)","0.66 (0.27,   1.58)","5.33 (0.30,  95.86)","0.57 (0.06,   5.50)","0.75 (0.47,   1.21)","0.82 (0.34,   2.01)","0.85 (0.59,   1.22)","1.11 (0.50,   2.45)","0.85 (0.53,   1.36)","0.07 (0.01,   0.66)","0.74 (0.03,  18.18)","0.94 (0.68,   1.30)","0.69 (0.42,   1.11)",SECU,"1.03 ( 0.83,  1.29)","1.41 ( 1.10,  1.81)","1.39 ( 1.31,  1.47)"
SONELO,"0.82 (0.16,   4.23)","0.69 (0.13,   3.76)","0.42 (0.07,   2.45)","0.84 (0.16,   4.48)","0.57 (0.09,   3.41)","4.59 (0.17, 122.87)","0.49 (0.03,   7.73)","0.65 (0.12,   3.35)","0.71 (0.12,   4.31)","0.73 (0.14,   3.76)","0.96 (0.17,   5.53)","0.73 (0.14,   3.82)","0.06 (0.00,   0.94)","0.64 (0.02,  22.51)","0.81 (0.16,   4.01)","0.59 (0.11,   3.09)","0.86 (0.17,   4.34)",SONELO,"1.37 ( 0.98,  1.92)","1.34 ( 1.07,  1.70)"
TILDRA,"1.27 (0.53,   3.03)","1.07 (0.42,   2.77)","0.66 (0.23,   1.91)","1.30 (0.51,   3.30)","0.88 (0.29,   2.71)","7.13 (0.36, 139.78)","0.77 (0.07,   8.21)","1.00 (0.46,   2.19)","1.10 (0.35,   3.45)","1.14 (0.48,   2.68)","1.49 (0.52,   4.28)","1.14 (0.49,   2.67)","0.10 (0.01,   0.99)","0.99 (0.04,  26.29)","1.26 (0.58,   2.75)","0.92 (0.38,   2.24)","1.34 (0.58,   3.09)","1.55 (0.26,   9.21)",TILDRA,"0.98 ( 0.77,  1.26)"
USK,"1.04 (0.64,   1.70)","0.88 (0.46,   1.68)","0.54 (0.25,   1.15)","1.07 (0.61,   1.87)","0.72 (0.30,   1.74)","5.86 (0.33, 105.58)","0.63 (0.07,   6.06)","0.82 (0.51,   1.33)","0.90 (0.37,   2.22)","0.94 (0.59,   1.48)","1.22 (0.55,   2.71)","0.94 (0.58,   1.53)","0.08 (0.01,   0.73)","0.81 (0.03,  20.02)","1.03 (0.74,   1.45)","0.76 (0.48,   1.20)","1.10 (0.75,   1.61)","1.28 (0.25,   6.52)","0.82 (0.35,   1.90)",USK
